;Originally developed by Anthony Bowden
;www.railsimroutes.co.uk
;
;This file and any associated textures
;have been released into the public
;domain and can be freely modified or
;re-used without restrictions
;
;See 'Readme.txt'

CreateMeshBuilder,
AddVertex,-4.35, 4.68, -0.02,
AddVertex,-4.1, 4.68, -0.02,
AddVertex,-4.1, 0.915, -0.02,
AddVertex,-4.35, 0.915, -0.02,
AddFace2,0,1,2,3,
GenerateNormals,

LoadTexture,..\..\Catenary\Mk3\Mast3.bmp,
SetTextureCoordinates,0, 0, 0.6,
SetTextureCoordinates,1, 0.72, 0.6,
SetTextureCoordinates,2, 0.72, 0.9745,
SetTextureCoordinates,3, 0, 0.9745,

CreateMeshBuilder,
AddVertex,-4.5, 4.82, 0,
AddVertex,-4.5, 4.67, 0,
AddVertex,-1.4, 4.67, 0,
AddVertex,-1.4, 4.82, 0,
AddFace2,3,2,1,0,
GenerateNormals,

LoadTexture,..\..\Catenary\Mk3\Mast1.bmp,
SetTextureCoordinates,0, 0, 0.5,
SetTextureCoordinates,1, 1, 0.5,
SetTextureCoordinates,2, 1, 0.8,
SetTextureCoordinates,3, 0, 0.8,

CreateMeshBuilder,
AddVertex,-2.9, 4.7, 0,
AddVertex,-1.7, 4.7, 0,
AddVertex,-1.7, 3.6, 0,
AddVertex,-2.9, 3.6, 0,
AddFace,0,1,2,3,
GenerateNormals,

LoadTexture,PlatformSignal_R.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 1,
SetTextureCoordinates,3, 0, 1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,
AddVertex,-2.9, 4.7, 0,
AddVertex,-1.7, 4.7, 0,
AddVertex,-1.7, 3.6, 0,
AddVertex,-2.9, 3.6, 0,
AddFace,3,2,1,0,
GenerateNormals,

LoadTexture,PlatformSignal_Back.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 1,
SetTextureCoordinates,3, 0, 1,
SetDecalTransparentColor,0,0,0,


CreateMeshBuilder,
AddVertex,-1.6, 4.4, -0.9,
AddVertex,-1.6, 4.4, 0.9,
AddVertex,-1.6, 4.0, 0.9,
AddVertex,-1.6, 4.0, -0.9,
AddVertex,-2.1, 3.7, 0.9,
AddVertex,-2.1, 3.7, -0.9,
AddFace2,0,1,2,3,
AddFace2,3,2,4,5,
SetColor,190,190,190,
GenerateNormals,

LoadTexture,mesh.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 16, 0,
SetTextureCoordinates,2, 16, 8,
SetTextureCoordinates,3, 0, 8,
SetTextureCoordinates,4, 16, 16,
SetTextureCoordinates,5, 0, 16,
SetDecalTransparentColor,150,150,150,
