;Originally developed by Anthony Bowden
;www.railsimroutes.co.uk
;
;This file and any associated textures
;have been released into the public
;domain and can be freely modified or
;re-used without restrictions
;
;See 'Readme.txt'


CreateMeshBuilder,
AddVertex,3.8, -0.29, 0,
AddVertex,3.8, -0.29, 25.3,
AddVertex,1.9, -0.29, 25.3,
AddVertex,1.9, -0.29, 0,
AddFace,3,2,1,0,
GenerateNormals,

LoadTexture,RailObjects\Ballast.bmp,
SetTextureCoordinates,0, 1, 2,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 0, 0,
SetTextureCoordinates,3, 0, 2,
