;Originally developed by Anthony Bowden
;www.railsimroutes.co.uk
;
;This file and any associated textures
;have been released into the public
;domain and can be freely modified or
;re-used without restrictions
;
;See 'Readme.txt'

CreateMeshBuilder,
AddVertex,5.2, 4.315, 6.4,
AddVertex,4.9, 4.315, 6.4,
AddVertex,4.9, 0.915, 6.4,
AddVertex,5.2, 0.915, 6.4,
AddFace,3,2,1,0,
SetColor,0,0,100,
GenerateNormals,

CreateMeshBuilder,
AddVertex,6.0, 4.615, 6.4,
AddVertex,3.3, 4.615, 6.4,
AddVertex,3.3, 4.315, 6.4,
AddVertex,6.0, 4.315, 6.4,
AddFace,3,2,1,0,
SetColor,0,0,100,
GenerateNormals,

CreateMeshBuilder,
AddVertex,5.2, 4.315, 18.8,
AddVertex,4.9, 4.315, 18.8,
AddVertex,4.9, 0.915, 18.8,
AddVertex,5.2, 0.915, 18.8,
AddFace,3,2,1,0,
SetColor,0,0,100,
GenerateNormals,

CreateMeshBuilder,
AddVertex,6.0, 4.615, 18.8,
AddVertex,3.3, 4.615, 18.8,
AddVertex,3.3, 4.315, 18.8,
AddVertex,6.0, 4.315, 18.8,
AddFace,3,2,1,0,
SetColor,0,0,100,
GenerateNormals,

CreateMeshBuilder,
AddVertex,6.2, 4.115, 0,
AddVertex,6.2, 4.115, 25.2,
AddVertex,6.2, 3.3, 25.2,
AddVertex,6.2, 3.3, 0,
AddVertex,6.2, 0.915, 25.2,
AddVertex,6.2, 0.915, 0,
AddFace,3,2,1,0,
AddFace,5,4,2,3,
GenerateNormals,

LoadTexture,..\Longbridge_2.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 40, 0,
SetTextureCoordinates,2, 40, 0.5,
SetTextureCoordinates,3, 0, 0.5,
SetTextureCoordinates,4, 40, 1,
SetTextureCoordinates,5, 0, 1,

CreateMeshBuilder,
AddVertex,3.3, 4.615, 0,
AddVertex,3.3, 4.615, 25.2,
AddVertex,5.9, 4.615, 25.2,
AddVertex,5.9, 4.615, 0,
AddVertex,6.2, 4.315, 25.2,
AddVertex,6.2, 4.315, 0,
AddVertex,6.2, 4.115, 25.2,
AddVertex,6.2, 4.115, 0,
AddFace,3,2,1,0,
AddFace,5,4,2,3,
AddFace,7,6,4,5,
GenerateNormals,

LoadTexture,..\Longbridge_3.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 6, 0,
SetTextureCoordinates,2, 6, 0.70,
SetTextureCoordinates,3, 0, 0.70,
SetTextureCoordinates,4, 6, 0.94,
SetTextureCoordinates,5, 0, 0.94,
SetTextureCoordinates,6, 6, 1,
SetTextureCoordinates,7, 0, 1,

CreateMeshBuilder,
AddVertex,3.3, 4.615, 0,
AddVertex,3.3, 4.615, 25.2,
AddVertex,3.1, 4.515, 25.2,
AddVertex,3.1, 4.515, 0,
AddVertex,3.0, 4.315, 25.2,
AddVertex,3.0, 4.315, 0,
AddVertex,3.0, 3.815, 25.2,
AddVertex,3.0, 3.815, 0,
AddFace2,3,2,1,0,
AddFace,5,4,2,3,
AddFace,7,6,4,5,
GenerateNormals,

LoadTexture,..\Longbridge_1.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 30, 0.0,
SetTextureCoordinates,2, 30, 0.50,
SetTextureCoordinates,3, 0, 0.50,
SetTextureCoordinates,4, 30, 0.60,
SetTextureCoordinates,5, 0, 0.60,
SetTextureCoordinates,6, 30, 1,
SetTextureCoordinates,7, 0, 1,

CreateMeshBuilder,
AddVertex,6.0, 3.55, 10.8,
AddVertex,6.0, 3.55, 9.2,
AddVertex,6.0, 3.28, 9.2,
AddVertex,6.0, 3.28, 10.8,
AddFace,0,1,2,3,
SetColor,255,255,255,
GenerateNormals,

LoadTexture,..\..\..\..\Common_Files\Generic\Signs\StationSign.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 1,
SetTextureCoordinates,3, 0, 1,

CreateMeshBuilder,
AddVertex,6.0, 3.3, 2,
AddVertex,6.0, 3.3, 5,
AddVertex,6.0, 2.0, 5,
AddVertex,6.0, 2.0, 2,
AddFace,3,2,1,0,
SetColor,255,255,255,
GenerateNormals,

LoadTexture,..\..\..\..\Common_Files\Generic\Misc\Timetable.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 2, 0,
SetTextureCoordinates,2, 2, 1,
SetTextureCoordinates,3, 0, 1,

CreateMeshBuilder,
AddVertex,6, 3.2, 18.5,
AddVertex,6, 3.2, 14.5,
AddVertex,6, 1.8, 14.5,
AddVertex,6, 1.8, 18.5,
AddFace,0,1,2,3,
SetColor,255,255,255,
GenerateNormals,

LoadTexture,..\..\..\..\Common_Files\Generic\Misc\advert2.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 1,
SetTextureCoordinates,3, 0, 1,

CreateMeshBuilder,
AddVertex,6, 2.015, 11,
AddVertex,6, 2.015, 14,
AddVertex,5.9, 1.465, 14,
AddVertex,5.9, 1.465, 11,
AddVertex,5.5, 1.465, 14,
AddVertex,5.5, 1.465, 11,
AddVertex,5.5, 0.915, 14,
AddVertex,5.5, 0.915, 11,
AddFace,3,2,1,0,
AddFace,5,4,2,3,
AddFace,7,6,4,5,
GenerateNormals,

LoadTexture,..\Seat.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 0.5,
SetTextureCoordinates,3, 0, 0.5,
SetTextureCoordinates,4, 1, 0.9,
SetTextureCoordinates,5, 0, 0.9,
SetTextureCoordinates,6, 1, 1,
SetTextureCoordinates,7, 0, 1,
SetDecalTransparentColor,0,0,0,
