;Originally developed by Anthony Bowden
;www.railsimroutes.co.uk
;
;This file and any associated textures
;have been released into the public
;domain and can be freely modified or
;re-used without restrictions
;
;See 'Readme.txt'

CreateMeshBuilder,
AddVertex,-60.0, -8, 26,
AddVertex,-8, 2.02, 26,
AddVertex,-8, 1.0, 0,
AddVertex,-60.0, -8, 0,
AddVertex,-0.4, -1.8, 26,
AddVertex,-0.4, -1.8, -2.5,
AddFace,0,1,2,3,
AddFace,1,4,5,2,
AddFace,3,2,5,
GenerateNormals,

LoadTexture,..\..\Common_Textures\emb1.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 0.5,
SetTextureCoordinates,3, 0, 0.5,
SetTextureCoordinates,4, 2, 0,
SetTextureCoordinates,5, 2, 1,

CreateMeshBuilder,
AddVertex,60.0, -8, 26,
AddVertex,8, 2.02, 26,
AddVertex,8.0, 1.0, 0,
AddVertex,60.0, -8, 0,
AddVertex,0.4, -1.8, 26,
AddVertex,0.4, -1.8, -2.5,
AddFace,3,2,1,0,
AddFace,2,5,4,1,
AddFace,5,2,3,
GenerateNormals,

LoadTexture,..\..\Common_Textures\emb1.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 0.5,
SetTextureCoordinates,3, 0, 0.5,
SetTextureCoordinates,4, 2, 0,
SetTextureCoordinates,5, 2, 1,

CreateMeshBuilder,
AddVertex,-5,10,7,
AddVertex,-5,1,6,
AddVertex,-13,1,3,
AddVertex,-13,10,4,
AddFace,0,1,2,3,
GenerateNormals,

LoadTexture,..\..\Common_Textures\t1.bmp,
SetTextureCoordinates,0,00,0,
SetTextureCoordinates,1,00,1,
SetTextureCoordinates,2,01,1,
SetTextureCoordinates,3,01,0,
SetDecalTransparentColor,000,000,000,

CreateMeshbuilder
AddVertex,-7.8,5,25.1,
AddVertex,-8,4,0,
AddVertex,-8,0.9,0,
AddVertex,-8,1.9,25,
AddVertex,-12,3,0,
AddVertex,-12,0,0,
AddFace,3,2,1,0,
AddFace,2,5,4,1,
GenerateNormals,

LoadTexture,..\..\Common_Textures\hedgerow2.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,0,1,
SetTextureCoordinates,4,1.4,0,
SetTextureCoordinates,5,1.4,1,
SetDecalTransparentColor,0,0,0,

CreateMeshbuilder
AddVertex,8,5,25.1,
AddVertex,8,4,0,
AddVertex,8,0.9,0,
AddVertex,8,1.9,25,
AddVertex,12,3,0,
AddVertex,12,0,0,
AddFace,0,1,2,3,
AddFace,1,4,5,2,
GenerateNormals,

LoadTexture,..\..\Common_Textures\hedgerow2.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,0,1,
SetTextureCoordinates,4,1.4,0,
SetTextureCoordinates,5,1.4,1,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,
AddVertex,-120, 11, 30,
AddVertex,-3.5, -1.9, 30,
AddVertex,-3.5, -2.91, 0,
AddVertex,-3.5, -6.31, -5,
AddVertex,-160, -6.31, -15,
AddVertex,-120, 8, 0,
AddFace,0,1,2,5,
AddFace,5,2,3,4,
GenerateNormals,

LoadTexture,..\..\Common_Textures\emb1.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 1,
SetTextureCoordinates,3, 1, 2,
SetTextureCoordinates,4, 0, 2,
SetTextureCoordinates,5, 0, 1,

CreateMeshBuilder,
AddVertex,120, 11, 30,
AddVertex,12, -1.3, 30,
AddVertex,12, -2.31, 0,
AddVertex,12, -6.31, -5,
AddVertex,160, -6.31, -15,
AddVertex,120, 8, 0,
AddFace,5,2,1,0,
AddFace,4,3,2,5,
GenerateNormals,

LoadTexture,..\..\Common_Textures\emb2.bmp,
SetTextureCoordinates,0, 0, 0,
SetTextureCoordinates,1, 1, 0,
SetTextureCoordinates,2, 1, 1,
SetTextureCoordinates,3, 1, 2,
SetTextureCoordinates,4, 0, 2,
SetTextureCoordinates,5, 0, 1,

CreateMeshBuilder,
AddVertex,-120, 13, 0,
AddVertex,-120, 15, 30,
AddVertex,-120, 9.9, 30,
AddVertex,-120, 7.9, 0,
AddFace,0,1,2,3,
GenerateNormals,

LoadTexture,..\..\Common_Textures\hedgerow1.bmp,
SetTextureCoordinates,0,00,0,
SetTextureCoordinates,1,00,1,
SetTextureCoordinates,2,01,1,
SetTextureCoordinates,3,01,0,
SetDecalTransparentColor,000,000,000,

CreateMeshBuilder,
AddVertex,120, 12, 0,
AddVertex,120, 14, 30,
AddVertex,120, 9.9, 30,
AddVertex,120, 7.9, 0,
AddFace,3,2,1,0,
GenerateNormals,

LoadTexture,..\..\Common_Textures\hedgerow1.bmp,
SetTextureCoordinates,0,00,0,
SetTextureCoordinates,1,00,1,
SetTextureCoordinates,2,01,1,
SetTextureCoordinates,3,01,0,
SetDecalTransparentColor,000,000,000,

CreateMeshBuilder,
AddVertex,-50, 10, 17,
AddVertex,-50, 2, 17,
AddVertex,-40, 2, 20,
AddVertex,-40, 10, 20,
AddFace,3,2,1,0,
GenerateNormals,

LoadTexture,..\..\Common_Textures\b1.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,1,0,
SetDecalTransparentColor,0,0,0,

CreateMeshBuilder,
AddVertex,120, 14, 0,
AddVertex,120, 16, 29,
AddVertex,120, 7, 29,
AddVertex,120, 8.9, 0,
AddVertex,30, 4.5, 31,
AddVertex,30, -0.5, 31,
AddFace,3,2,1,0,
AddFace,2,5,4,1,
GenerateNormals,

LoadTexture,..\..\Common_Textures\treewall.bmp,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,0,1,
SetTextureCoordinates,4,4,0,
SetTextureCoordinates,5,4,1,
SetDecalTransparentColor,0,0,0,
